7.5	127.49	86.538	0.42358
8	121.22	83.021	0.44775
8.5	114.13	76.993	0.46448
9	104.81	71.771	0.48021
9.5	98.931	68.331	0.48815
10	91.655	66.673	0.4776
10.5	86.006	63.539	0.466
11	82.398	63.047	0.44959
11.5	78.498	61.583	0.43044
12	76.4	61.04	0.42431
12.5	72.414	59.815	0.4216
13	69.321	59.44	0.40898
13.5	68.017	60.383	0.40066
14	65.464	58.87	0.39554
14.5	64.429	60.728	0.39142
15	61.887	59.221	0.3762
15.5	60.248	58.74	0.37067
16	57.904	59.988	0.36429
16.5	57.409	60.366	0.35919
17	55.341	58.514	0.35023
17.5	54.767	59.591	0.34626
18	52.881	60.612	0.34006
18.5	52.429	58.504	0.33823
19	51.501	58.476	0.33534
19.5	50.576	59.379	0.32509
20	49.301	58.86	0.33148
