0.05900	252.204080	1.081222	0.243778	0.180053	0.438227	0.064019	0.104103	0.307796	0.027621	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.05700	370.675880	0.709425	0.225472	0.184411	0.393408	0.065568	0.115177	0.322304	0.032787	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.05500	608.858880	0.531091	0.211166	0.187818	0.357090	0.066780	0.125032	0.331494	0.037630	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.05300	640.338900	0.514663	0.197092	0.191169	0.321593	0.067971	0.135033	0.339483	0.042663	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.05100	864.636740	0.728113	0.187810	0.193379	0.296415	0.068757	0.143498	0.341502	0.047232	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.04900	1020.061680	0.691843	0.179336	0.195396	0.273340	0.069474	0.151890	0.341860	0.051897	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.04700	1249.022560	0.671721	0.171537	0.197253	0.252079	0.070134	0.160271	0.340737	0.056688	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.04500	2225.665420	0.896574	0.164307	0.198974	0.232398	0.070746	0.168696	0.338277	0.061634	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.04300	3050.024060	1.013309	0.157561	0.200581	0.214106	0.071318	0.177215	0.334595	0.066763	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.04100	6224.921080	1.080821	0.151229	0.202088	0.197045	0.071854	0.185874	0.329782	0.072103	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.03900	8092.376000	0.744266	0.145251	0.203512	0.181085	0.072360	0.194719	0.323913	0.077683	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.03700	17368.320440	0.816236	0.139580	0.204862	0.166117	0.072840	0.203795	0.317047	0.083537	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.03500	41042.487960	0.759772	0.134175	0.206149	0.152049	0.073297	0.213148	0.309230	0.089697	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.03300	91286.641920	0.958063	0.129002	0.207381	0.138803	0.073735	0.222826	0.300498	0.096202	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
