0.5	42.207	27.245	0.21039
1	41.92	27.471	0.20872
1.5	41.667	28.255	0.2106
2	41.369	28.995	0.213
2.5	40.916	29.298	0.21217
3	42.987	30.731	0.2193
3.5	43.694	31.47	0.21897
4	41.979	31.966	0.21958
4.5	44.185	32.486	0.21785
5	45.798	33.373	0.22361
5.5	45.525	35.746	0.22917
6	46.612	36.138	0.23115
6.5	48.297	36.81	0.23693
7	50.035	39.651	0.23959
7.5	52.557	40.955	0.24615
8	54.411	44.442	0.25161
8.5	58.285	46.868	0.25395
9	64.678	49.394	0.2585
9.5	74.126	62.318	0.26253
10	81.099	72.833	0.26237
10.5	85.651	82.842	0.26208
11	85.785	89.138	0.24604
11.5	84.331	94.312	0.23775
12	82.425	94.455	0.23449
